Node,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0,3.1,2.9,5,4.9,5.3,6.4,7.2,8.9,9.6,10.7,14.8,14.1
2,3.1,0,1.6,3.7,3.6,4.1,5.2,6.3,7.7,8.3,9.5,12,12.9
3,2.9,1.6,0,1.9,1.8,1.8,2.9,4,5.8,6.5,7.6,11.4,11.1
4,5,3.7,1.9,0,0.35,0.85,1.7,3.1,4.4,5,6.2,9.9,9.2
5,4.9,3.6,1.8,0.35,0,1,1.8,3.2,4.4,5.1,6.3,10,9.3
6,5.3,4.1,1.8,0.85,1,0,1.2,2.6,4.4,4.8,6.1,8.7,9.2
7,6.4,5.2,2.9,1.7,1.8,1.2,0,1.5,3.1,3.7,5.1,9.1,8.3
8,7.2,6.3,4,3.1,3.2,2.6,1.5,0,2.2,2.8,5,7.3,7.8
9,8.9,7.7,5.8,4.4,4.4,4.4,3.1,2.2,0,1.8,4,7.5,6.9
10,9.6,8.3,6.5,5,5.1,4.8,3.7,2.8,1.8,0,3.3,6.2,6
11,10.7,9.5,7.6,6.2,6.3,6.1,5.1,5,4,3.3,0,6,5.3
12,14.8,12,11.4,9.9,10,8.7,9.1,7.3,7.5,6.2,6,0,0.75
13,14.1,12.9,11.1,9.2,9.3,9.2,8.3,7.8,6.9,6,5.3,0.75,0
